character,text
COOPER," And live from Otterbein University, just north of Columbus, Ohio, this is the CNN-New York Times Democratic presidential debate."
COOPER,"We want to welcome our viewers in the United States and watching around the world, watching us on CNN, CNN International, CNN En Espanol, Cnn.com, thenewyorktimes.com, CNN’s Facebook page, and listening on the Westwood One rio network, SiriusXM satellite rio, NPR, and the American Forces Network."
COOPER,"I'm Anderson Cooper moderating tonight's debate, along with CNN's Erin Burnett and New York Times national editor Mark Lacey. We are in Ohio tonight, because it's one of the most critical battleground states. Ohio has backed all but two presidential winners in every election since 1896."
BURNETT," The top 12 Democratic presidential candidates are at their positions behind the podiums. This is a record number of candidates for a presidential primary debate, so to accommodate the large group, there are no opening statements tonight."
LACEY," Before we begin, a reminder of the ground rules. You'll each receive 75 seconds to answer questions, 45 seconds for responses and rebuttals, and 15 seconds for clarifications. Please refrain from interrupting your fellow candidates, as that will count against your time."
COOPER," And we remind our audience here in the Rike Center at Otterbein to be respectful so the candidates can hear the questions and each other. All right, let's begin."
COOPER,"Since the last debate, House Democrats have officially launched an impeachment inquiry against President Trump, which all the candidates on this stage support. Senator Warren, I want to start with you. You have said that there's alrey enough evidence for President Trump to be impeached and removed from office. But the question is, with the election only one year away, why shouldn't it be the voters who determine the president's fate?"
WARREN, Because sometimes there are issues that are bigger than politics. And I think that's the case with this impeachment inquiry.
WARREN,"When I me the decision to run for president, I certainly didn't think it was going to be about impeachment. But when the Mueller report came out, I re it, all 442 pages. And when I got to the end, I realized that Mueller h shown, too, a fare-thee-well, that this president h obstructed justice and done it repeatedly. And so at that moment, I called for opening an impeachment inquiry."
WARREN,"Now, that didn't happen. And look what happened as a result. Donald Trump broke the law again in the summer, broke it again this fall. You know, we took a constitutional oath, and that is that no one is above the law, and that includes the president of the United States."
WARREN,"Impeachment is the way that we establish that this man will not be permitted to break the law over and over without consequences. This is about Donald Trump, but, understand, it's about the next president and the next president and the next president and the future of this country. The impeachment must go forward."
COOPER," Thank you, Senator Warren. You’re all going to get in on this, by the way. Senator Sanders, do Democrats have any chance but to impeach President Trump? Please respond."
SANDERS," No, they don't. In my judgment, Trump is the most corrupt president in the history of this country. It's not just that he obstructed justice with the Mueller Report. I think that the House will find him guilty of — worthy of impeachment because of the emoluments clause. This is a president who is enriching himself while using the Oval Office to do that, and that is outrageous."
SANDERS,"And I think in terms of the recent Ukrainian incident, the idea that we have a president of the United States who is prepared to hold back national security money to one of our allies in order to get dirt on a presidential candidate is beyond comprehension. So I look forward, by the way, not only to a speedy and expeditious impeachment process, but Mitch McConnell has got to do the right thing and allow a free and fair trial in the Senate."
COOPER," Vice President Biden, during the Clinton impeachment proceedings, you said, and I quote, “The American people don't think that they've me a mistake by electing Bill Clinton, and we in Congress h better be very careful before we upset their decision.” With the country now split, have Democrats been careful enough in pursuing the impeachment of President Trump?"
BIDEN," Yes, they have. I said from the beginning that if, in fact, Trump continued to stonewall what the Congress is entitled to know about his background, what he did, all the accusations in the Mueller Report, if they did that, they would have no choice — no choice — but to begin an impeachment proceeding, which gives them more power to seek more information."
BIDEN,"This president — and I agree with Bernie, Senator Sanders — is the most corrupt president in modern history and I think all of our history. And the fact is that this president of the United States has gone so far as to say, since this latest event, that, in fact, he will not cooperate in any way at all, will not list any witnesses, will not provide any information, will not do anything to cooperate with the impeachment. They have no choice but to move."
COOPER," Senator Harris, House Speaker Nancy Pelosi has said that members of Congress have to be, in her words, fair to the president and give him a chance to exonerate himself. You've alrey said that based on everything you've seen, you would vote to remove him from office. Is that being fair to the president?"
HARRIS," Well, it's just being observant, because he has committed crimes in plain sight. I mean, it's shocking, but he told us who he was. Maya Angelou told us years ago, listen to somebody when they tell you who they are the first time."
HARRIS,"During that election, Donald Trump told us he could shoot somebody on Fifth Avenue and get away with it. And he has consistently since he won been selling out the American people. He's been selling out working people. He's been selling out our values. He's been selling out national security. And on this issue with Ukraine, he has been selling out our democracy."
HARRIS,"Our framers imagined this moment, a moment where we would have a corrupt president. And our framers then rightly designed our system of democracy to say there will be checks and balances. This is one of those moments. And so Congress must act."
HARRIS,"But the reality of it is that I don't really think this impeachment process is going to take very long, because as a former prosecutor, I know a confession when I see it. And he did it in plain sight. He has given us the evidence. And he tried to cover it up, putting it in that special server. And there's been a clear consciousness of guilt. This will not take very long. Donald Trump needs to be held accountable. He is, indeed, the most corrupt and unpatriotic president we have ever h."
COOPER," Senator Booker, you have said that President Trump's, quote, “moral vandalism” disqualifies him from being president. Can you be fair in an impeachment trial? Please respond."
BOOKER," So, first of all, we must be fair. We are talking about ongoing proceedings to remove a sitting president for office. This has got to be about patriotism and not partisanship."
BOOKER,"Look, I share the same sense of urgency of everybody on this stage. I understand the outrage that we all feel. But we have to conduct this process in a way that is honorable, that brings our country together, doesn't rip us apart."
BOOKER,"Anybody who has criticisms about a process that is making all the facts bare before the American public, that works to build consensus, that's what this nation needs, in what is a moral moment and not a political one. So I swore an oath to do my job as a senator, do my duty. This president has violated his. I will do mine."
COOPER," Thank you, Senator Booker."
COOPER,"Senator Klobuchar, you have — what do you say to those who fear that impeachment is a distraction from issues that impact people's day-to-day lives, health care, the economy, and could backfire on Democrats?"
KLOBUCHAR," We can do two things at once. That's our job. We have a constitutional duty to pursue this impeachment, but we also can stand up for America, because this president has not been putting America in front of his own personal interests."
KLOBUCHAR,"He has not been standing up for the workers of Ohio. He’s not been standing up for the farmers in Iowa. And I take this even a step further. You know, when he me that call to the he of Ukraine, he’s digging up dirt on an opponent. That’s illegal conduct. That’s what he was doing. He didn’t talk to him about the Russian invasion. He talked to him about that."
KLOBUCHAR,"So I'm still waiting to find out from him how making that call to the he of Ukraine and trying to get him involved in interfering in our election makes America great again. I'd like to hear from him about how leaving the Kurds for slaughter, our allies for slaughter, where Russia then steps in to protect them, how that makes America great again. And I would like to hear from him about how coddling up to Vlimir Putin makes America great again."
KLOBUCHAR,"It doesn't make America great again. It makes Russia great again. And that is what this president has done. So whether it is workers' issues, whether it is farmers' issues, he has put his own private interests …"
COOPER, Thank you.
KLOBUCHAR, … and I will not do that.
COOPER," Thank you. Secretary Castro, is impeachment a distraction?"
CASTRO," Not at all. We can walk and chew gun at the same time. And all of us are out there every single day talking about what we're going to do to make sure that more people cross a gruation stage, that more families have great health care, that more folks are put to work in places like Ohio, where Donald Trump has broken his promises, because Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them."
CASTRO,"Not only that, what we have to recognize is that not only did the Mueller Report point out 10 different instances where the president obstructed justice or tried to, and he me that call to President Zelensky of the Ukraine, but he is in ongoingly — in an ongoing way violating his oath of office and abusing his power."
CASTRO,"We have to impeach this president. And the majority of Americans not only support impeachment, they support removal. He should be removed."
COOPER," Mayer Buttigieg, you have said that impeachment should be bipartisan. There's been, obviously, very little Republican support to date, yet Democrats are proceeding. Is that a mistake?"
BUTTIGIEG," Well, it's a mistake on the part of Republicans, who enable the president whose actions are as offensive to their own supposed values as they are to the values that we all share."
